id,year,quantity
1064,2004,227
1066,1958,40
1067,1972,901
1070,2004,47
1071,1987,327
1072,2000,87
1073,1976,118
1074,2000,8
1075,2010,2
1078,2013,39
1083,2003,832
1085,2016,165
1087,2005,525
1089,2001,16
1090,2001,405
1093,1976,31
1094,1990,221
1095,2005,14
1096,1997,30
1097,2013,27
1101,2003,68
1102,2014,229
1103,2011,99
1104,1998,1200
1105,2015,595
1108,1979,74
1109,2007,8
1111,2005,2
1112,2011,28
1113,2011,111
1114,2015,26
1115,1998,428
1116,2016,954
1117,2015,72
1118,1955,26
1119,2012,895
1120,2002,322
1121,2002,19
1122,2011,912
1126,2015,24
1127,1995,340
1128,2015,99
1129,2009,64
1132,2005,76
1134,2002,489
1137,1976,385
1138,1999,15
1140,2012,74
1141,2001,21
1144,1972,1
1148,2008,156
1149,2016,114
1152,1988,1
1154,2016,40
1156,1986,4
1157,1981,17
1158,1974,79
1161,1975,51
1162,2008,38
1163,2001,27
1164,1996,334
1165,2012,1635
1166,1975,82
1167,2016,360
1170,2014,311
1171,1988,545
1173,2000,25
1174,1991,39
1175,2012,25
1177,2002,10
1180,1995,274
1181,2016,179
1182,1997,66
1184,2006,1454
1187,1976,172
1189,2012,1524
1191,2012,23
1193,2001,30
1194,1977,126
1195,1965,63
1197,2015,86
1198,2008,957
1199,1978,39
1200,2011,2
1206,2015,450
1207,2000,428
1208,2011,635
1209,1987,62
1210,2003,610
1211,2014,3
1212,2001,121
1213,2014,256
1214,1991,60
1215,2015,178
1216,1966,6
1219,1986,2
1220,2012,209
1221,2002,41
1222,2006,200
1223,1994,44
1224,1991,32
1225,1997,604
1226,2017,611
1227,2006,22
1233,2003,36
1234,2014,304
1236,1966,50
1237,2009,52
1241,2008,1642
1242,1985,1
1245,1999,4
1246,1991,17
1247,1984,21
1248,1980,310
1249,1999,34
1250,1996,134
1251,1991,58
1252,2010,120
1253,2009,29
1259,1989,200
1260,2004,42
1261,1994,4
1264,2006,674
1266,2017,107
1267,2002,100
1268,1998,1
1270,1975,200
1271,1961,9
1272,1987,8
1274,2014,91
1275,2006,674
1279,1999,224
1280,2004,1056
1281,2010,31
1282,2012,51
1283,1997,66
1284,1999,40
1285,1987,26
1286,2004,18
1290,1976,120
1291,2003,27
1292,1980,124
1293,1993,715
1300,1982,8
1302,2012,3
1303,2000,10
1305,2017,4105
1306,2015,59
1307,2016,18
1311,2015,236
1312,2009,96
1313,1982,277
1316,2003,27
1318,1973,89
1320,2002,33
1321,1998,684
1324,1996,74
1325,2007,1
1326,1977,2
1327,1980,58
1328,1985,5
1330,2014,41
1332,2011,10
1333,2009,76
1335,1999,179
1338,1988,543
1339,1987,8
1340,1990,208
1341,2011,100
1342,1990,1
1344,1984,44
1346,2004,6
1353,2010,55
1354,1991,12
1355,2001,54
1356,1966,34
1357,2013,87
1359,2009,20
1360,2013,25
1363,1968,65
1364,2014,183
1365,1974,49
1366,1977,3
1368,2017,60
1369,2002,398
1374,1994,331
1375,1993,35
1377,2003,25
1379,1968,123
1380,1998,100
1381,2009,31
1384,1970,56
1387,1990,176
1388,2014,465
1389,1999,1
1390,2002,194
1392,1998,16
1393,2012,634
1398,2009,92
1399,2010,469
1402,1986,141
1405,1987,104
1406,1981,382
1407,1978,257
1409,2003,61
1410,1982,4
1411,2011,30
1412,2015,65
1414,1979,2
1416,2011,307
1419,1985,42
1420,1998,1004
1422,2014,68
1426,2012,193
1427,2012,521
1428,2004,241
1431,1988,336
1432,2011,157
1433,1997,3
1434,2002,500
1435,1999,20
1436,2002,15
1437,1990,20
1439,2008,524
1440,1999,317
1441,2011,299
1442,1988,1
1444,2010,53
1445,2015,338
1447,1999,666
1448,1982,20
1449,2015,63
1450,1979,52
1452,2006,54
1453,2011,145
1454,1993,78
1456,1981,10
1457,2012,44
1459,2015,1
1460,2014,5
1461,2011,276
1462,1999,61
1465,2015,322
1466,2005,4
1469,2001,326
1470,2000,45
1471,1995,177
1472,1997,78
1475,1973,102
1476,2010,19
1478,2017,2
1479,2009,20
1480,1966,101
1481,2008,472
1482,2002,38
1483,1994,64
1484,1999,324
1485,2016,314
1486,2010,47
1487,2012,1
1489,2000,2903
1492,2006,46
1493,1987,20
1494,2014,37
1495,2014,736
1497,1998,400
1498,2008,22
1499,2012,1
1500,1991,354
1502,1975,88
1503,2016,2
1504,2015,62
1505,2006,713
1509,2005,1907
1511,1986,7
1513,2011,18
1515,2010,72
1517,2016,2
1519,1955,5
1520,2016,661
1521,2016,81
1522,2006,100
1524,1963,6
1526,1997,244
1527,2010,319
1530,1981,8
1531,2009,114
1534,2007,36
1535,1981,4
1536,2004,50
1537,2012,763
1538,2004,1437
1548,2014,98
1549,1984,101
1552,2006,14
1554,1989,16
1555,2004,225
1556,2014,34
1557,2003,59
1560,2016,29
1562,1996,950
1563,2007,70
1566,2016,553
1568,2015,38
1569,2004,50
1570,2010,153
1572,1978,116
1573,1987,18
1577,2008,53
1578,2015,2
1579,2008,554
1580,1989,77
1582,2006,447
1585,1987,24
1586,2011,65
1587,2014,3
1589,2010,1639
1594,2005,94
1596,2015,1
