year,set_num,id,version
2021,10279-1,105907,1
2021,10280-1,83220,1
1985,1028-1,26674,1
2021,10281-1,83224,1
2021,10281-1,116721,2
2021,10282-1,103479,1
2021,10282-2,110868,1
2021,10283-1,94718,1
2021,10284-1,110717,1
2011,10285-1,2173,1
2009,10287-1,8495,1
2021,10289-1,92518,1
2021,10290-1,104783,1
1999,1029-1,6726,1
2021,10291-1,110209,1
2021,10292-1,99987,1
2021,10293-1,111654,1
2021,10294-1,114094,1
2021,10295-1,87315,1
2022,10297-1,117586,1
1970,102A-1,445,1
1970,102A-2,1384,1
1977,10-3,8462,1
1985,1030-1,15686,1
1969,103-1,6435,1
1983,1031-1,12946,1
1971,103-2,25449,1
1985,1032-1,2414,1
1985,1033-1,4172,1
1985,1034-1,12922,1
1985,1038-1,13420,1
1986,1039-1,10042,1
1991,1040-1,26917,1
2018,10401-1,21138,1
1986,1040-2,26922,1
2018,10402-1,21139,1
1976,1040-3,34000,1
2018,10403-1,21141,1
2018,10404-1,21142,1
2018,10405-1,21143,1
1970,104-1,9907,1
1986,1041-1,25582,1
1980,1041-2,26943,1
1986,1042-1,26947,1
1986,1043-1,26923,1
1986,1044-1,26939,1
1986,1045-1,26824,1
1976,1045-2,10309,1
1985,1046-1,26825,1
1986,1047-1,26657,1
1986,1048-1,26656,1
1985,1049-1,3156,1
2013,10500-1,14820,1
1986,1050-1,81305,1
2013,10501-1,16396,1
2013,10502-1,25540,1
2013,10503-1,22000,1
2013,10504-1,3732,1
2013,10505-1,13186,1
2013,10506-1,14021,1
2013,10507-1,6986,1
2013,10508-1,7726,1
2013,10509-1,11946,1
1984,105-1,12217,1
2013,10510-1,14879,1
2013,10511-1,6006,1
2013,10512-1,3133,1
2013,10513-1,12889,1
2013,10514-1,5586,1
2013,10515-1,1078,1
2012,10516-1,2678,1
2013,10517-1,10216,1
2013,10518-1,6769,1
2013,10518-1,86502,2
2013,10519-1,26481,1
1973,105-2,7770,1
2013,10520-1,5394,1
2013,10520-1,86545,2
2014,10521-1,3283,1
2014,10522-1,14473,1
2014,10524-1,913,1
2014,10525-1,13111,1
2014,10526-1,11553,1
2014,10527-1,9992,1
2014,10528-1,272,1
2014,10529-1,13819,1
1984,1053-1,8162,1
2012,10531-1,8149,1
2012,10531-1,26168,2
2014,10532-1,12961,1
2014,10538-1,12781,1
2014,10539-1,6506,1
1999,1054-1,7079,1
2014,10542-1,6427,1
2014,10543-1,13359,1
2014,10544-1,7908,1
2014,10545-1,9307,1
2014,10546-1,13321,1
2013,10550-1,9073,1
2013,10552-1,11943,1
2013,10553-1,14564,1
2013,10554-1,5659,1
2013,10555-1,6522,1
2013,10556-1,26607,1
2013,10557-1,3240,1
2013,10558-1,10155,1
2013,10559-1,26828,1
2013,10560-1,26827,1
1985,1056-1,7666,1
2013,10561-1,6132,1
2014,10565-1,7975,1
2014,10566-1,3506,1
2014,10567-1,4582,1
2014,10568-1,4753,1
2014,10569-1,8125,1
2014,10570-1,12626,1
2014,10571-1,16167,1
2014,10572-1,8572,1
2014,10573-1,14890,1
2014,10574-1,13530,1
2014,10575-1,6540,1
2014,10576-1,8887,1
2014,10577-1,12723,1
2014,10579-1,5902,1
2014,10580-1,2344,1
2015,10581-1,15640,1
2015,10582-1,948,1
2015,10583-1,5636,1
2015,10584-1,7621,1
2015,10585-1,12642,1
2015,10586-1,12500,1
2015,10587-1,3670,1
2015,10589-1,9009,1
2015,10590-1,10632,1
2015,10591-1,11511,1
2015,10592-1,14670,1
2015,10593-1,8092,1
2015,10594-1,11197,1
2015,10595-1,10728,1
2015,10596-1,15863,1
2015,10597-1,3091,1
2015,10599-1,15679,1
2015,10600-1,2105,1
1981,1060-1,7128,1
2015,10601-1,6740,1
2015,10602-1,15442,1
